year,donor_group,value,value_bn,value_bn_rounded
2002,G7,4361.032566,4.3610325659999996,4.36
2002,Other - Country,131.898886,0.131898886,0.13
2002,"Other - DFI, IFI, Bank",859.946212,0.859946212,0.86
2002,UN Agencies,39.043041,0.039043041,0.04
2002,World Bank,2443.378006,2.443378006,2.44
2003,EU Institutions,4.563525,0.004563525000000001,0.0
2003,G7,4891.096785,4.891096784999999,4.89
2003,Other - Country,107.744567,0.107744567,0.11
2003,"Other - DFI, IFI, Bank",1153.541872,1.153541872,1.15
2003,UN Agencies,54.546091,0.054546091,0.05
2003,World Bank,344.622612,0.344622612,0.34
2004,G7,754.943443,0.754943443,0.75
2004,Other - Country,99.893971,0.099893971,0.1
2004,"Other - DFI, IFI, Bank",593.632295,0.593632295,0.59
2004,UN Agencies,57.578021,0.057578021,0.06
2004,World Bank,1777.367476,1.777367476,1.78
2005,EU Institutions,95.554805,0.095554805,0.1
2005,G7,1470.290294,1.470290294,1.47
2005,Other - Country,475.797833,0.475797833,0.48
2005,"Other - DFI, IFI, Bank",11.820538,0.011820538,0.01
2005,UN Agencies,76.280218,0.07628021800000001,0.08
2005,World Bank,1896.170926,1.896170926,1.9
2006,EU Institutions,233.442665,0.233442665,0.23
2006,G7,2421.704047,2.421704047,2.42
2006,Other - Country,291.290171,0.291290171,0.29
2006,"Other - DFI, IFI, Bank",17.469063,0.017469063,0.02
2006,UN Agencies,70.798283,0.070798283,0.07
2006,World Bank,2222.085435,2.222085435,2.22
2007,EU Institutions,139.898605,0.139898605,0.14
2007,G7,1940.733521,1.940733521,1.94
2007,Other - Country,285.152219,0.285152219,0.29
2007,"Other - DFI, IFI, Bank",30.638881,0.030638881,0.03
2007,"Other - IGO, NGO, PPP",66.839997,0.066839997,0.07
2007,UN Agencies,79.542145,0.07954214500000001,0.08
2007,World Bank,2540.035792,2.5400357920000003,2.54
2008,EU Institutions,124.55843899999999,0.12455843899999999,0.12
2008,G7,1799.754511,1.7997545110000002,1.8
2008,Other - Country,267.440409,0.267440409,0.27
2008,"Other - DFI, IFI, Bank",24.298137,0.024298137,0.02
2008,"Other - IGO, NGO, PPP",146.759412,0.146759412,0.15
2008,UN Agencies,105.521184,0.105521184,0.11
2008,World Bank,497.74408900000003,0.49774408900000006,0.5
2009,EU Institutions,196.479066,0.19647906599999998,0.2
2009,Foundation,67.74978800000001,0.067749788,0.07
2009,G7,2540.611028,2.540611028,2.54
2009,Other - Country,758.513114,0.758513114,0.76
2009,"Other - DFI, IFI, Bank",89.756293,0.089756293,0.09
2009,"Other - IGO, NGO, PPP",66.84141799999999,0.06684141799999999,0.07
2009,UN Agencies,115.407081,0.11540708100000001,0.12
2009,World Bank,2662.251883,2.6622518829999997,2.66
2010,EU Institutions,354.363845,0.354363845,0.35
2010,Foundation,38.224437,0.038224437,0.04
2010,G7,4491.928592,4.491928592,4.49
2010,Other - Country,1054.069216,1.054069216,1.05
2010,"Other - DFI, IFI, Bank",1745.635974,1.745635974,1.75
2010,"Other - IGO, NGO, PPP",199.499982,0.199499982,0.2
2010,UN Agencies,119.396742,0.119396742,0.12
2010,World Bank,901.754657,0.9017546569999999,0.9
2011,EU Institutions,512.057931,0.5120579310000001,0.51
2011,Foundation,193.522544,0.19352254400000002,0.19
2011,G7,5189.382382,5.189382382,5.19
2011,Other - Country,715.121924,0.7151219240000001,0.72
2011,"Other - DFI, IFI, Bank",1155.010146,1.1550101460000002,1.16
2011,"Other - IGO, NGO, PPP",42.171304,0.042171304,0.04
2011,UN Agencies,150.637507,0.150637507,0.15
2011,World Bank,1910.436615,1.910436615,1.91
2012,EU Institutions,392.315657,0.392315657,0.39
2012,Foundation,70.347465,0.070347465,0.07
2012,G7,3137.301354,3.1373013540000003,3.14
2012,Other - Country,792.715592,0.792715592,0.79
2012,"Other - DFI, IFI, Bank",1563.247103,1.563247103,1.56
2012,"Other - IGO, NGO, PPP",317.997458,0.317997458,0.32
2012,UN Agencies,112.092364,0.112092364,0.11
2012,World Bank,1298.248798,1.2982487980000001,1.3
2013,EU Institutions,286.231806,0.28623180600000003,0.29
2013,Foundation,55.135581,0.055135581,0.06
2013,G7,3388.236874,3.388236874,3.39
2013,Other - Country,732.27786,0.7322778600000001,0.73
2013,"Other - DFI, IFI, Bank",1825.269204,1.825269204,1.83
2013,"Other - IGO, NGO, PPP",353.641079,0.35364107899999997,0.35
2013,UN Agencies,70.94639600000001,0.07094639600000001,0.07
2013,World Bank,1108.447307,1.1084473069999998,1.11
2014,EU Institutions,321.258358,0.32125835799999997,0.32
2014,Foundation,102.191141,0.102191141,0.1
2014,G7,3618.363677,3.6183636769999996,3.62
